date,hour,zone,usage_kwh,capacity_kwh,usage_percent,essential_load_percent,solar_generation_kwh,battery_backup_kwh,grid_available
2025-11-30,0,Zone A,2245.33,7168,31.32,64,0.0,1163,True
2025-11-30,1,Zone A,1954.94,7168,27.27,64,0.0,1546,True
2025-11-30,2,Zone A,2578.25,7168,35.97,64,0.0,1589,True
2025-11-30,3,Zone A,2173.69,7168,30.32,64,0.0,1865,True
2025-11-30,4,Zone A,1960.8,7168,27.35,64,0.0,1825,True
2025-11-30,5,Zone A,2478.86,7168,34.58,64,0.0,1717,True
2025-11-30,6,Zone A,4445.28,7168,62.02,64,0.0,1192,True
2025-11-30,7,Zone A,3923.64,7168,54.74,64,136.29,1057,True
2025-11-30,8,Zone A,6972.33,7168,97.27,64,417.3,1339,False
2025-11-30,9,Zone A,6365.11,7168,88.8,64,708.42,1940,True
2025-11-30,10,Zone A,4788.71,7168,66.81,64,860.21,1145,True
2025-11-30,11,Zone A,5870.5,7168,81.9,64,1132.44,1382,True
2025-11-30,12,Zone A,4027.48,7168,56.19,64,725.82,1999,True
2025-11-30,13,Zone A,4198.37,7168,58.57,64,915.2,1498,True
2025-11-30,14,Zone A,3901.42,7168,54.43,64,853.46,1951,False
2025-11-30,15,Zone A,4155.54,7168,57.97,64,645.07,1179,True
2025-11-30,16,Zone A,3917.61,7168,54.65,64,294.57,1746,True
2025-11-30,17,Zone A,6015.81,7168,83.93,64,200.36,1789,False
2025-11-30,18,Zone A,6372.0,7168,88.9,64,0.0,1990,False
2025-11-30,19,Zone A,6687.58,7168,93.3,64,0.0,1959,True
2025-11-30,20,Zone A,6660.22,7168,92.92,64,0.0,1243,True
2025-11-30,21,Zone A,5595.26,7168,78.06,64,0.0,1906,True
2025-11-30,22,Zone A,4377.97,7168,61.08,64,0.0,1746,True
2025-11-30,23,Zone A,3876.74,7168,54.08,64,0.0,1255,True
2025-12-01,0,Zone A,2158.74,7168,30.12,64,0.0,1737,True
2025-12-01,1,Zone A,1817.29,7168,25.35,64,0.0,1429,True
2025-12-01,2,Zone A,2573.55,7168,35.9,64,0.0,1387,True
2025-12-01,3,Zone A,2182.49,7168,30.45,64,0.0,1490,False
2025-12-01,4,Zone A,2411.08,7168,33.64,64,0.0,1166,True
2025-12-01,5,Zone A,1915.42,7168,26.72,64,0.0,1301,True
2025-12-01,6,Zone A,4029.9,7168,56.22,64,0.0,1174,True
2025-12-01,7,Zone A,3556.98,7168,49.62,64,300.04,1095,True
2025-12-01,8,Zone A,7393.38,7168,103.14,64,418.96,1031,True
2025-12-01,9,Zone A,7666.69,7168,106.96,64,793.96,1160,True
2025-12-01,10,Zone A,4853.55,7168,67.71,64,548.18,1713,False
2025-12-01,11,Zone A,5682.79,7168,79.28,64,662.32,1288,True
2025-12-01,12,Zone A,3612.9,7168,50.4,64,900.24,1860,True
2025-12-01,13,Zone A,3656.72,7168,51.01,64,772.09,1301,False
2025-12-01,14,Zone A,3838.83,7168,53.56,64,558.47,1653,True
2025-12-01,15,Zone A,4431.77,7168,61.83,64,410.73,1803,True
2025-12-01,16,Zone A,4149.28,7168,57.89,64,342.75,1657,False
2025-12-01,17,Zone A,5188.59,7168,72.39,64,198.52,1191,True
2025-12-01,18,Zone A,6291.13,7168,87.77,64,0.0,1857,True
2025-12-01,19,Zone A,7003.94,7168,97.71,64,0.0,1713,True
2025-12-01,20,Zone A,6302.62,7168,87.93,64,0.0,1554,True
2025-12-01,21,Zone A,5828.88,7168,81.32,64,0.0,1566,True
2025-12-01,22,Zone A,4459.47,7168,62.21,64,0.0,1428,False
2025-12-01,23,Zone A,4367.21,7168,60.93,64,0.0,1586,True
2025-12-02,0,Zone A,2117.72,7168,29.54,64,0.0,1924,True
2025-12-02,1,Zone A,2323.33,7168,32.41,64,0.0,1819,False
2025-12-02,2,Zone A,2419.25,7168,33.75,64,0.0,1123,True
2025-12-02,3,Zone A,2033.91,7168,28.37,64,0.0,1995,True
2025-12-02,4,Zone A,2413.66,7168,33.67,64,0.0,1433,True
2025-12-02,5,Zone A,2650.7,7168,36.98,64,0.0,1842,True
2025-12-02,6,Zone A,4211.4,7168,58.75,64,0.0,1936,True
2025-12-02,7,Zone A,3669.46,7168,51.19,64,229.43,1877,True
2025-12-02,8,Zone A,7476.98,7168,104.31,64,254.33,1717,False
2025-12-02,9,Zone A,7504.37,7168,104.69,64,409.25,1153,True
2025-12-02,10,Zone A,5461.04,7168,76.19,64,1017.91,1102,True
2025-12-02,11,Zone A,5196.79,7168,72.5,64,676.4,1548,True
2025-12-02,12,Zone A,4252.27,7168,59.32,64,958.35,1585,False
2025-12-02,13,Zone A,3862.63,7168,53.89,64,755.43,1633,False
