date,zone,bin_id,bin_type,fill_percent,weight_kg,is_festival,last_collected,gps_lat,gps_lon
2025-11-30,Zone A,Zone A_Organic_2,Organic,75.73,112.49,False,2025-11-26,13.083492,77.57711
2025-11-30,Zone A,Zone A_Plastic_1,Plastic,66.67,72.63,False,2025-11-29,13.0339,77.613702
2025-11-30,Zone A,Zone A_Mixed_2,Mixed,54.6,55.93,False,2025-11-27,12.923714,77.649174
2025-11-30,Zone A,Zone A_E-Waste_3,E-Waste,19.69,22.7,False,2025-11-26,12.94908,77.676902
2025-12-01,Zone A,Zone A_Organic_2,Organic,100.0,144.79,True,2025-11-30,13.035066,77.594765
2025-12-01,Zone A,Zone A_Plastic_3,Plastic,75.84,89.65,True,2025-11-27,12.924997,77.534397
2025-12-01,Zone A,Zone A_Mixed_2,Mixed,100.0,106.1,True,2025-11-27,12.939229,77.574091
2025-12-01,Zone A,Zone A_E-Waste_3,E-Waste,38.59,34.71,True,2025-11-28,12.987118,77.532647
2025-12-02,Zone A,Zone A_Organic_3,Organic,49.44,67.45,False,2025-11-29,12.968091,77.681155
2025-12-02,Zone A,Zone A_Plastic_1,Plastic,51.3,63.05,False,2025-11-28,13.040744,77.699891
2025-12-02,Zone A,Zone A_Mixed_2,Mixed,60.39,68.19,False,2025-11-28,13.064238,77.655816
2025-12-02,Zone A,Zone A_E-Waste_1,E-Waste,14.83,21.85,False,2025-12-01,13.078803,77.50355
2025-12-03,Zone A,Zone A_Organic_2,Organic,43.23,64.03,False,2025-11-30,12.925989,77.55924
2025-12-03,Zone A,Zone A_Plastic_1,Plastic,35.34,37.84,False,2025-11-29,12.957253,77.590966
2025-12-03,Zone A,Zone A_Mixed_2,Mixed,61.68,61.33,False,2025-11-28,12.956375,77.549342
2025-12-03,Zone A,Zone A_E-Waste_1,E-Waste,10.92,10.39,False,2025-12-02,13.047191,77.524739
2025-12-04,Zone A,Zone A_Organic_3,Organic,69.94,103.26,False,2025-11-30,13.02743,77.677687
2025-12-04,Zone A,Zone A_Plastic_2,Plastic,55.59,81.82,False,2025-12-02,12.994139,77.62918
2025-12-04,Zone A,Zone A_Mixed_1,Mixed,65.05,84.48,False,2025-12-04,12.915895,77.674497
2025-12-04,Zone A,Zone A_E-Waste_2,E-Waste,10.05,9.66,False,2025-12-02,12.94938,77.593655
2025-12-05,Zone A,Zone A_Organic_2,Organic,40.71,34.99,False,2025-12-01,12.989393,77.642314
2025-12-05,Zone A,Zone A_Plastic_3,Plastic,60.12,75.21,False,2025-12-04,13.073296,77.649395
2025-12-05,Zone A,Zone A_Mixed_2,Mixed,40.7,41.8,False,2025-12-01,12.945195,77.623193
2025-12-05,Zone A,Zone A_E-Waste_1,E-Waste,17.91,18.84,False,2025-12-02,12.995379,77.653993
2025-12-06,Zone A,Zone A_Organic_2,Organic,54.48,69.31,False,2025-12-06,12.932971,77.52133
2025-12-06,Zone A,Zone A_Plastic_3,Plastic,51.02,53.11,False,2025-12-06,12.919962,77.685114
2025-12-06,Zone A,Zone A_Mixed_3,Mixed,47.36,70.88,False,2025-12-05,13.042195,77.537921
2025-12-06,Zone A,Zone A_E-Waste_1,E-Waste,27.47,29.6,False,2025-12-02,12.997837,77.666437
2025-12-07,Zone A,Zone A_Organic_1,Organic,72.45,58.76,False,2025-12-02,13.059164,77.557072
2025-12-07,Zone A,Zone A_Plastic_2,Plastic,66.01,81.73,False,2025-12-03,13.054372,77.549317
2025-12-07,Zone A,Zone A_Mixed_3,Mixed,55.12,67.02,False,2025-12-04,13.050563,77.511196
2025-12-07,Zone A,Zone A_E-Waste_2,E-Waste,27.29,40.02,False,2025-12-06,13.036494,77.535532
2025-12-08,Zone A,Zone A_Organic_1,Organic,65.81,55.16,False,2025-12-06,12.962097,77.516243
2025-12-08,Zone A,Zone A_Plastic_2,Plastic,58.51,75.64,False,2025-12-05,13.018411,77.557962
2025-12-08,Zone A,Zone A_Mixed_3,Mixed,74.49,93.21,False,2025-12-04,13.032901,77.51365
2025-12-08,Zone A,Zone A_E-Waste_3,E-Waste,25.5,28.16,False,2025-12-03,12.982853,77.683902
2025-12-09,Zone A,Zone A_Organic_3,Organic,53.02,69.09,False,2025-12-04,12.965606,77.657037
2025-12-09,Zone A,Zone A_Plastic_1,Plastic,58.17,49.17,False,2025-12-04,13.012055,77.649665
2025-12-09,Zone A,Zone A_Mixed_1,Mixed,44.19,54.91,False,2025-12-04,12.910332,77.623755
2025-12-09,Zone A,Zone A_E-Waste_2,E-Waste,16.41,18.73,False,2025-12-06,12.927528,77.634937
2025-12-10,Zone A,Zone A_Organic_3,Organic,55.16,76.2,False,2025-12-08,13.053158,77.612545
2025-12-10,Zone A,Zone A_Plastic_3,Plastic,65.11,83.04,False,2025-12-06,12.917179,77.595738
2025-12-10,Zone A,Zone A_Mixed_3,Mixed,60.27,82.39,False,2025-12-09,12.904065,77.610028
2025-12-10,Zone A,Zone A_E-Waste_3,E-Waste,13.7,18.53,False,2025-12-10,13.048471,77.535581
